Item,Calories,Total Fat,Carbohydrates (G),Protein,Establishment,
Arby's Melt,330,11,40,18,Arby's,
Arby-Q Sandwich,400,10,58,18,Arby's,
Beef 'n Cheddar Classic,450,20,45,23,Arby's,
Beef 'n Cheddar Mid,630,32,48,39,Arby's,
Bourbon BBQ Brisket Sandwich,650,33,51,38,Arby's,
Bourbon BBQ Chicken Sandwich,690,31,66,38,Arby's,
Bourbon BBQ Steak Sandwich,690,31,66,38,Arby's,
Buttermilk Buffalo Chicken Sandwich,540,24,53,29,Arby's,
Buttermilk Chicken Bacon & Swiss,650,31,56,39,Arby's,
Buttermilk Chicken Cordon Bleu Sandwich,690,35,53,41,Arby's,
Buttermilk Crispy Chicken Sandwich,550,26,52,29,Arby's,
Classic French Dip & Swiss/Au Jus,540,23,50,35,Arby's,
Classic Roast Beef,360,14,37,23,Arby's,
Double Roast Beef,510,24,38,38,Arby's,
Fire-Roasted Philly Steak,640,32,46,42,Arby's,
Grand Turkey Club,480,24,37,30,Arby's,
Greek Gyro,710,44,55,23,Arby's,
Half Pound Beef 'n Cheddar Sandwich,740,39,48,49,Arby's,
Half Pound French Dip & Swiss,750,36,51,55,Arby's,
Half Pound Roast Beef Sandwich,610,30,38,48,Arby's,
Ham & Swiss Melt,300,9,37,18,Arby's,
Loaded Italian Sandwich,680,40,49,32,Arby's,
Pecan Chicken Salad Flatbread,710,46,53,22,Arby's,
Pecan Chicken Salad Sandwich,840,44,81,33,Arby's,
2 piece Prime-Cut Chicken Tenders,240,11,19,16,Arby's,
3 piece Prime-Cut Chicken Tenders,360,17,28,23,Arby's,
5 piece Prime-Cut Chicken Tenders,600,28,47,39,Arby's,
Reuben Sandwich,680,31,62,37,Arby's,
Roast Beef Gyro,550,29,48,24,Arby's,
Roast Turkey & Swiss Sandwich,710,28,79,38,Arby's,
Roast Turkey & Swiss Wrap,520,27,39,30,Arby's,
"Roast Turkey, Ranch & Bacon Sandwich",800,34,79,45,Arby's,
"Roast Turkey, Ranch & Bacon Wrap",620,34,39,37,Arby's,
Smoke Mountain w/ Beef Short Rib,740,35,62,43,Arby's,
Smokehouse Beef Short Rib Sandwich,590,59,59,26,Arby's,
Smokehouse Brisket,600,35,42,33,Arby's,
Super Roast Beef,430,17,45,23,Arby's,
Three Cheese Steak Sandwich,650,36,44,30,Arby's,
Triple Decker Sandwich,1030,51,83,62,Arby's,
Turkey Avocado Club,730,28,80,41,Arby's,
Turkey Gyro,470,20,48,25,Arby's,
Ultimate BLT,980,55,80,43,Arby's,
Buffalo Chicken Slider,290,13,31,12,Arby's,
Chicken Tender 'n Cheese Slider,290,12,30,15,Arby's,
Corned Beef 'n Cheese Slider,220,9,21,14,Arby's,
Ham 'n Cheese Slider,210,8,21,13,Arby's,
Jalapeno Roast Beef 'n Cheese Slider,240,11,21,14,Arby's,
Pizza Slider,300,17,23,13,Arby's,
Roast Beef 'n Cheese Slider,240,11,21,14,Arby's,
Turkey 'n Cheese Slider,200,7,21,14,Arby's,
Chopped Side Salad,70,5,4,5,Arby's,
Crispy Chicken Farmhouse Salad,430,24,26,28,Arby's,
Greek Gyro Salad,420,37,11,10,Arby's,
Roast Turkey Farmhouse Salad,230,13,8,22,Arby's,
,Super Greek Salad,720,53,39,22,Arby's
